factor,prototype,windows_available,safe20_positive_window_count,mae_positive_window_count,mfe_positive_window_count,direction_consistency,best_window,window_role
range_atr,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,5m,alpha_mfe_only
atr_pct,P4_BREAKOUT_TOP20,6,6,0,6,consistent_positive,15m,path_safety_multi_window
atr_pct_rank,P4_BREAKOUT_TOP20,6,1,0,6,mixed,15m,window_reversal
volatility_ratio_short_long,P4_BREAKOUT_TOP20,6,5,0,6,mixed,15m,path_safety_multi_window
atr_percentile_200,P4_BREAKOUT_TOP20,6,6,0,6,consistent_positive,15m,path_safety_multi_window
prior_5m_range_pct,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_15m_range_pct,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_30m_range_pct,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_5m_return,P4_BREAKOUT_TOP20,5,0,0,5,consistent_nonpositive,1m,alpha_mfe_only
prior_15m_return,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_30m_return,P4_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,6,6,4,4,consistent_positive,15m,path_safety_multi_window
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,6,6,4,3,consistent_positive,15m,path_safety_multi_window
breakout_score_quantile,P4_BREAKOUT_TOP20,6,5,0,6,mixed,15m,path_safety_multi_window
momentum_score_quantile,P4_BREAKOUT_TOP20,6,6,0,6,consistent_positive,15m,path_safety_multi_window
range_atr,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,0,6,6,consistent_nonpositive,60m,alpha_mfe_only
atr_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,1,0,6,mixed,1m,execution_risk_short_window
atr_pct_rank,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,15m,alpha_mfe_only
volatility_ratio_short_long,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,6,4,6,consistent_positive,15m,path_safety_multi_window
atr_percentile_200,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,6,0,6,consistent_positive,15m,path_safety_multi_window
prior_5m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_15m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_30m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,0,0,6,consistent_nonpositive,1m,alpha_mfe_only
prior_5m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,3,0,0,3,consistent_nonpositive,1m,alpha_mfe_only
prior_15m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,5,0,0,4,consistent_nonpositive,1m,alpha_mfe_only
prior_30m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,5,0,0,4,consistent_nonpositive,1m,alpha_mfe_only
prior_5m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,6,0,3,consistent_positive,60m,path_safety_multi_window
prior_15m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,6,4,3,consistent_positive,15m,path_safety_multi_window
breakout_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,5,6,5,mixed,60m,path_safety_multi_window
momentum_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,6,6,0,6,consistent_positive,3m,path_safety_multi_window
