factor,prototype,bootstrap_ok,stress_ok,horizon_ok,failure_explainability,decision_status,allowed_next_step
atr_pct,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
atr_percentile_200,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
momentum_score_quantile,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
volatility_ratio_short_long,P4_BREAKOUT_TOP20,True,True,True,weak_explanation,candidate_for_H3_prototype,H3_minimal_gate_prototype
breakout_score_quantile,P4_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
atr_pct_rank,P4_BREAKOUT_TOP20,False,False,True,explains_failures,needs_more_validation,research_only
prior_15m_return,P4_BREAKOUT_TOP20,False,False,True,weak_explanation,needs_more_validation,research_only
prior_30m_return,P4_BREAKOUT_TOP20,False,False,True,explains_failures,needs_more_validation,research_only
range_atr,P6_MOMENTUM_OR_BREAKOUT_TOP20,False,False,True,no_explanation,needs_more_validation,research_only
atr_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,explains_failures,candidate_for_H3_prototype,H3_minimal_gate_prototype
volatility_ratio_short_long,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,weak_explanation,candidate_for_H3_prototype,H3_minimal_gate_prototype
atr_percentile_200,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
prior_5m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
prior_15m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
breakout_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,explains_failures,candidate_for_H3_prototype,H3_minimal_gate_prototype
momentum_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,True,True,True,no_explanation,needs_more_validation,research_only
prior_15m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,False,False,True,explains_failures,needs_more_validation,research_only
prior_30m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,False,False,True,weak_explanation,needs_more_validation,research_only
