factor,common,label,prototype,symbol_scope,event_count,q5_minus_q1,top20_minus_bottom20,safe_rate_top20,safe_rate_bottom20,hit_liq_rate_top20,hit_liq_rate_bottom20,monthly_positive_rate,cross_symbol_positive_count,status
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4428,0.0,0.0,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4428,0.013544018058690654,0.013544018058690654,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.26666666666666666,3.0,weak_path_safety_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4428,0.023702031602708784,0.023702031602708784,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.5666666666666667,4.0,path_safety_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4428,0.0,0.0,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.002257336343115124,-0.002257336343115124,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4428,-0.0006613496155551056,-0.0006613496155551056,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.13333333333333333,0.0,risk_only_candidate
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4428,0.009220969635953941,0.009220969635953943,0.9661399548532731,0.9525959367945824,0.002257336343115124,0.0,0.9333333333333333,4.0,path_safety_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.01241534988713322,-0.01241534988713322,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.03333333333333333,1.0,risk_only_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4428,0.02483069977426633,0.02483069977426633,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.36666666666666664,3.0,weak_path_safety_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4428,0.036117381489842004,0.036117381489842004,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.7,3.0,path_safety_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4428,0.0,0.0,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.002257336343115124,-0.002257336343115124,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4428,-0.0002936194366891481,-0.0002936194366891481,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.43333333333333335,1.0,risk_only_candidate
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4428,0.007569079997205608,0.007569079997205608,0.9492099322799097,0.9243792325056434,0.002257336343115124,0.0,0.9666666666666667,4.0,path_safety_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.018058690744920947,-0.018058690744920947,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.007900677200902928,-0.007900677200902928,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.23333333333333334,1.0,risk_only_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4428,0.021444695259593693,0.021444695259593693,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.5666666666666667,2.0,path_safety_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4428,0.0,0.0,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4428,-0.002257336343115124,-0.002257336343115124,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.0,0.0,risk_only_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4428,-0.00023317230326675461,-0.00023317230326675461,0.9559819413092551,0.963882618510158,0.002257336343115124,0.0,0.43333333333333335,1.0,risk_only_candidate
