trade_id,max_margin_usage,min_margin_ratio
FRC1_BTCUSDT_2024-12-01 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-03 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-05 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-07 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-09 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-11 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-13 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-15 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-17 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-19 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-21 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-21 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-23 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-25 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-27 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-29 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2024-12-30 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-01 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-03 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-05 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-07 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-09 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-10 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-12 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-12 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-14 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-16 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-18 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-20 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-22 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-24 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-26 08:00:00+00:00,0.15,0.18
